date,AAPL,IBM,MSFT
1995-07-05,44265200.0,9674400.0,48547200.0
1995-07-06,46023600.0,9395200.0,47070400.0
1995-07-07,96779200.0,15628400.0,66699200.0
1995-07-10,74482800.0,9175200.0,111982400.0
1995-07-11,53673200.0,8429600.0,78227200.0
1995-07-12,70952000.0,11393200.0,94675200.0
1995-07-13,88082400.0,13944800.0,84811200.0
1995-07-14,69482000.0,10580000.0,89905600.0
1995-07-17,56540400.0,14929600.0,155830400.0
1995-07-18,63658000.0,35804400.0,289624000.0
1995-07-19,130258800.0,34290800.0,305092800.0
1995-07-20,82818400.0,20262800.0,177848000.0
1995-07-21,189470400.0,17482400.0,169257600.0
1995-07-24,53656400.0,20671600.0,94811200.0
1995-07-25,65881200.0,21288000.0,109422400.0
1995-07-26,42862400.0,14330800.0,77470400.0
1995-07-27,81295200.0,12372000.0,52916800.0
1995-07-28,65234400.0,9744400.0,158468800.0
1995-07-31,39631200.0,10540800.0,101435200.0
1995-08-01,52729600.0,12105600.0,166144000.0
1995-08-02,68782000.0,12248400.0,129804800.0
1995-08-03,53482800.0,13142400.0,113536000.0
1995-08-04,48078800.0,5028800.0,77705600.0
1995-08-07,48440000.0,5723200.0,64273600.0
1995-08-08,58648800.0,7181200.0,43913600.0
1995-08-09,92254400.0,7867200.0,144384000.0
1995-08-10,41006000.0,7885600.0,71883200.0
1995-08-11,51732800.0,9310800.0,97195200.0
1995-08-14,41851600.0,6993200.0,88872000.0
1995-08-15,79466800.0,10804000.0,63267200.0
1995-08-16,73158400.0,11787200.0,38118400.0
1995-08-17,61723200.0,12118800.0,74564800.0
1995-08-18,60289600.0,14792400.0,77502400.0
1995-08-21,67944800.0,18802800.0,110491200.0
1995-08-22,54261200.0,22057200.0,94320000.0
1995-08-23,63450800.0,12956000.0,111188800.0
1995-08-24,71982400.0,15188000.0,95275200.0
1995-08-25,33586000.0,11129200.0,73489600.0
1995-08-28,60760000.0,16455600.0,112622400.0
1995-08-29,79265200.0,24584000.0,163929600.0
1995-08-30,38368400.0,12998400.0,79499200.0
1995-08-31,21966000.0,9265600.0,38764800.0
1995-09-01,24595200.0,7275600.0,80262400.0
1995-09-05,44993200.0,26673200.0,92052800.0
1995-09-06,50190000.0,16766000.0,100265600.0
1995-09-07,65581600.0,16205200.0,93932800.0
1995-09-08,43694000.0,21422000.0,64417600.0
1995-09-11,43122800.0,26478000.0,77408000.0
1995-09-12,81564000.0,29151200.0,71155200.0
1995-09-13,80687600.0,55690400.0,61208000.0
1995-09-14,137639600.0,31461600.0,54230400.0
1995-09-15,302990800.0,27121600.0,88316800.0
1995-09-18,155372000.0,17814800.0,76827200.0
1995-09-19,122505600.0,16878800.0,58011200.0
1995-09-20,80452400.0,11826800.0,44652800.0
1995-09-21,86833600.0,11468000.0,83836800.0
1995-09-22,99660400.0,9377200.0,99899200.0
1995-09-25,78803200.0,11886000.0,57878400.0
1995-09-26,62725600.0,11099200.0,76548800.0
1995-09-27,112809200.0,18762800.0,140756800.0
1995-09-28,82796000.0,11420400.0,105510400.0
1995-09-29,70854000.0,10389200.0,95158400.0
1995-10-02,98000000.0,9487600.0,67731200.0
1995-10-03,72455600.0,13162400.0,80736000.0
1995-10-04,66693200.0,8028000.0,73473600.0
1995-10-05,61017600.0,9877200.0,101289600.0
1995-10-06,77260400.0,10392000.0,76616000.0
1995-10-09,93142000.0,12086000.0,108614400.0
1995-10-10,100066400.0,25871200.0,157644800.0
1995-10-11,83218800.0,13436000.0,107009600.0
1995-10-12,40513200.0,9390800.0,78700800.0
1995-10-13,58797200.0,9409600.0,68644800.0
1995-10-16,45516800.0,10594400.0,61067200.0
1995-10-17,44654400.0,45773600.0,123140800.0
1995-10-18,128100000.0,29217600.0,294329600.0
1995-10-19,236224800.0,18746800.0,95840000.0
1995-10-20,96583200.0,17814400.0,79984000.0
1995-10-23,49450800.0,16597600.0,93473600.0
1995-10-24,53373600.0,12445600.0,68681600.0
1995-10-25,33325600.0,10952000.0,60211200.0
1995-10-26,31466400.0,13407200.0,82841600.0
