year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,6,23,-1.1,-2.8,15.0
2009,1,7,0,-1.1,-2.8,26.0
2009,1,7,1,-1.1,-2.2,41.0
2009,1,7,2,-1.1,-2.2,15.0
2009,1,7,3,-1.7,-2.2,0.0
2009,1,7,4,-1.7,-2.8,0.0
2009,1,7,5,-2.2,-2.8,0.0
2009,1,7,6,,,
2009,1,7,7,-2.2,-3.3,15.0
2009,1,7,8,-2.8,-3.3,0.0
2009,1,7,9,-2.8,-3.3,15.0
2009,1,7,10,-2.8,-3.9,21.0
2009,1,7,11,-2.8,-3.9,31.0
2009,1,7,12,-2.2,-3.9,36.0
2009,1,7,13,-2.2,-3.3,36.0
2009,1,7,14,-2.2,-3.9,46.0
2009,1,7,15,-2.2,-4.4,51.0
2009,1,7,16,-2.2,-4.4,46.0
2009,1,7,17,-2.2,-5.0,46.0
2009,1,7,18,-2.2,-5.6,62.0
2009,1,7,19,-2.8,-6.1,62.0
2009,1,7,20,-3.3,-5.6,62.0
2009,1,7,21,-3.3,-7.2,72.0
2009,1,7,22,-4.4,-7.2,82.0
2009,1,7,23,-5.0,-7.8,57.0
2009,1,8,0,-6.1,-7.8,77.0
2009,1,8,1,-6.7,-8.9,67.0
2009,1,8,2,-7.8,-10.6,88.0
2009,1,8,3,-8.3,-11.1,67.0
2009,1,8,4,-8.9,-12.2,67.0
2009,1,8,5,-9.4,-12.8,57.0
2009,1,8,6,,,
2009,1,8,7,-9.4,-13.3,57.0
2009,1,8,8,-10.0,-13.3,51.0
2009,1,8,9,-10.6,-13.3,46.0
2009,1,8,10,-10.6,-13.9,51.0
2009,1,8,11,-10.6,-13.9,46.0
2009,1,8,12,-11.1,-13.9,36.0
2009,1,8,13,-11.1,-13.3,36.0
2009,1,8,14,-10.0,-12.2,57.0
2009,1,8,15,-8.9,-11.7,46.0
2009,1,8,16,-8.9,-12.2,62.0
2009,1,8,17,-8.3,-11.7,46.0
2009,1,8,18,-7.8,-11.7,51.0
2009,1,8,19,-6.7,-11.7,51.0
2009,1,8,20,-6.7,-11.7,77.0
2009,1,8,21,-6.7,-12.2,51.0
2009,1,8,22,-7.2,-12.8,46.0
2009,1,8,23,-8.9,-13.3,36.0
2009,1,9,0,-12.2,-15.0,26.0
2009,1,9,1,-11.1,-14.4,21.0
2009,1,9,2,-10.6,-13.9,15.0
2009,1,9,3,-11.7,-15.0,21.0
2009,1,9,4,-14.4,-16.7,21.0
2009,1,9,5,-13.3,-16.1,26.0
2009,1,9,6,,,
2009,1,9,7,-12.8,-16.7,21.0
2009,1,9,8,-12.2,-16.1,15.0
2009,1,9,9,-10.6,-15.0,0.0
